[2026-02-09 20:43:15] | MALWARE | Risk=10 | C:\Users\berke\Desktop\mini_av\test_folder\clear.ps1 | Reasons=HASH_MATCH,QUARANTINED
[2026-02-09 20:43:15] | CLEAN | Risk=0 | C:\Users\berke\Desktop\mini_av\test_folder\fakeb64.txt | Reasons=NONE
[2026-02-09 20:43:15] | MALWARE | Risk=60 | C:\Users\berke\Desktop\mini_av\test_folder\microsoft.ps1 | Reasons=HASH_MATCH,HEURISTICS_TRIGGER,QUARANTINED
[2026-02-09 20:43:15] | MALWARE | Risk=60 | C:\Users\berke\Desktop\mini_av\test_folder\roblox.ps1 | Reasons=HASH_MATCH,HEURISTICS_TRIGGER,QUARANTINED
[2026-02-09 20:49:43] | MALWARE | Risk=10 | C:\Users\berke\Desktop\mini_av\test_folder\clear.bat | Reasons=HASH_MATCH
[2026-02-09 20:49:43] | MALWARE | Risk=10 | C:\Users\berke\Desktop\mini_av\test_folder\clear.ps1 | Reasons=HASH_MATCH
[2026-02-09 20:49:43] | SUSPICIOUS | Risk=110 | C:\Users\berke\Desktop\mini_av\test_folder\eicar.com | Reasons=HEURISTICS_TRIGGER
[2026-02-09 20:49:43] | SUSPICIOUS | Risk=110 | C:\Users\berke\Desktop\mini_av\test_folder\eicar_test.com | Reasons=HEURISTICS_TRIGGER
[2026-02-09 20:49:43] | MALWARE | Risk=60 | C:\Users\berke\Desktop\mini_av\test_folder\evil.ps1 | Reasons=HASH_MATCH,HEURISTICS_TRIGGER
[2026-02-09 20:49:43] | CLEAN | Risk=0 | C:\Users\berke\Desktop\mini_av\test_folder\fakeb64.txt | Reasons=NONE
[2026-02-09 20:49:43] | MALWARE | Risk=60 | C:\Users\berke\Desktop\mini_av\test_folder\malware.ps1 | Reasons=HASH_MATCH,HEURISTICS_TRIGGER
[2026-02-09 20:49:43] | MALWARE | Risk=40 | C:\Users\berke\Desktop\mini_av\test_folder\microsoft.ps1 | Reasons=HASH_MATCH,HEURISTICS_TRIGGER
[2026-02-09 20:49:43] | MALWARE | Risk=40 | C:\Users\berke\Desktop\mini_av\test_folder\roblox.ps1 | Reasons=HASH_MATCH,HEURISTICS_TRIGGER
